title,sku,url_scraped,price,percent_discount,price_discount,tax,price_included_taxes,price_mt2,price_mtl,stock_1,stock_2,stock_3,stock_comentarie_1,stock_comentarie_2,stock_comentarie_3,images,route_product,short_description,long_description,pdf,length,width,height,weight,main_color,glossy_or_matte,main_material,origen,features
Vitrina Panorámica Para Exhibición 40x40cm,VP-4040_Blanco,https://www.exhibidoreschile.cl/MLC-1012472773-vitrina-panoramica-para-exhibicion-40x40cm-_JM,$ 249.000,,,,,,,(5 disponibles),,,Blanco,,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_798618-MLC52027000190_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_655462-MLC52026919698_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_936407-MLC52026874777_102022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Vitrinas,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina panorámica para exhibición<br><br>- Medidas: 40x40x196cm.<br>- Fabricada con MDF de 18mm enchapado en formalita. <br>- Vidrio de 6mm con cantos pulidos. <br>- Tres repisas de vidrio. <br>- Bodega con cerradura. <br>- Luminaria led empotrable en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz). <br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'VP-4040', 'Materiales': 'Formalita, MDF, Vidrio', 'Altura x Ancho x Profundidad': '196 cm x 40 cm x 40 cm', 'Cantidad de puertas': '1'}"
Vitrina Panorámica Para Exhibición 40x40cm,VP-4040_Negro,https://www.exhibidoreschile.cl/MLC-1012472773-vitrina-panoramica-para-exhibicion-40x40cm-_JM,$ 249.000,,,,,,,(5 disponibles),(21 disponibles),,Blanco,Negro,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_798618-MLC52027000190_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_974826-MLC52026971371_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_655462-MLC52026919698_102022-R.jpg', 'image_3': 'https://http2.mlstatic.com/D_Q_NP_936407-MLC52026874777_102022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Vitrinas,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina panorámica para exhibición<br><br>- Medidas: 40x40x196cm.<br>- Fabricada con MDF de 18mm enchapado en formalita. <br>- Vidrio de 6mm con cantos pulidos. <br>- Tres repisas de vidrio. <br>- Bodega con cerradura. <br>- Luminaria led empotrable en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz). <br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'VP-4040', 'Materiales': 'Formalita, MDF, Vidrio', 'Altura x Ancho x Profundidad': '196 cm x 40 cm x 40 cm', 'Cantidad de puertas': '1'}"
Trasera Estante Para Exhibición Con Ranurado 106x30x230cm,TMR-10630_Blanco,https://www.exhibidoreschile.cl/MLC-1059253143-trasera-estante-para-exhibicion-con-ranurado-106x30x230cm-_JM,$ 277.000,,,,,,,(5 disponibles),,,Blanco,,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_808397-MLC52025449252_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_709004-MLC52025489016_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_785452-MLC52025477072_102022-R.jpg'}",Hogar y Muebles/Muebles para el Hogar/Estanterías,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Estante trasera para exhibición con ranurado.<br><br>- Medidas: 107x30x230cm de alto.<br>- Fabricada con melamina de 18mm.<br>- Fondo ranurado de melamina blanco de 3mm.<br>- 3 luminarias led empotrables en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz). <br>- Zocalo enchapado en formalita tipo aluminio.<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'TMR-10630', 'Altura x Profundidad': '230 cm x 30 cm', 'Requiere ensamblado': 'Sí'}"
Trasera Estante Para Exhibición Con Ranurado 106x30x230cm,TMR-10630_Negro,https://www.exhibidoreschile.cl/MLC-1059253143-trasera-estante-para-exhibicion-con-ranurado-106x30x230cm-_JM,$ 277.000,,,,,,,(5 disponibles),(5 disponibles),,Blanco,Negro,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_808397-MLC52025449252_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_709004-MLC52025489016_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_767246-MLC52025459179_102022-R.jpg', 'image_3': 'https://http2.mlstatic.com/D_Q_NP_785452-MLC52025477072_102022-R.jpg'}",Hogar y Muebles/Muebles para el Hogar/Estanterías,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Estante trasera para exhibición con ranurado.<br><br>- Medidas: 107x30x230cm de alto.<br>- Fabricada con melamina de 18mm.<br>- Fondo ranurado de melamina blanco de 3mm.<br>- 3 luminarias led empotrables en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz). <br>- Zocalo enchapado en formalita tipo aluminio.<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'TMR-10630', 'Altura x Profundidad': '230 cm x 30 cm', 'Requiere ensamblado': 'Sí'}"
Trasera Mural Con Ranurado Y Bodega 106x30x230cm,TMRB-10730_Blanco,https://www.exhibidoreschile.cl/MLC-1108737832-trasera-mural-con-ranurado-y-bodega-106x30x230cm-_JM,$ 325.000,,,,,,,(5 disponibles),,,Blanco,,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_821995-MLC52066182315_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_714315-MLC52066045972_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_758264-MLC52066142486_102022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Vitrinas,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina trasera melaminica con fondo ranurado y bodega<br><br>- Medidas 106x30x230cm.<br>- Fabricada con melamina de 18mm.<br>- Fondo de panel ranurado.<br>- Bodega con tres puertas abatibles y cerraduras. <br>- Tres luminarias led empotrables en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz).<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'TMRB-10730', 'Materiales': 'Melamina, Vidrio', 'Altura x Ancho x Profundidad': '230 cm x 106 cm x 30 cm', 'Cantidad de puertas': '3'}"
Trasera Mural Con Ranurado Y Bodega 106x30x230cm,TMRB-10730_Negro,https://www.exhibidoreschile.cl/MLC-1108737832-trasera-mural-con-ranurado-y-bodega-106x30x230cm-_JM,$ 325.000,,,,,,,(5 disponibles),(5 disponibles),,Blanco,Negro,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_821995-MLC52066182315_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_714315-MLC52066045972_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_920836-MLC52066194263_102022-R.jpg', 'image_3': 'https://http2.mlstatic.com/D_Q_NP_758264-MLC52066142486_102022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Vitrinas,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina trasera melaminica con fondo ranurado y bodega<br><br>- Medidas 106x30x230cm.<br>- Fabricada con melamina de 18mm.<br>- Fondo de panel ranurado.<br>- Bodega con tres puertas abatibles y cerraduras. <br>- Tres luminarias led empotrables en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz).<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'TMRB-10730', 'Materiales': 'Melamina, Vidrio', 'Altura x Ancho x Profundidad': '230 cm x 106 cm x 30 cm', 'Cantidad de puertas': '3'}"
Vitrina Mostrador Cúpula Con Bodega 126x43x110cm,VM-126106_Blanco,https://www.exhibidoreschile.cl/MLC-1173088031-vitrina-mostrador-cupula-con-bodega-126x43x110cm-_JM,$ 385.000,,,,,,,(3 disponibles),,,Blanco,,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_799692-MLC52483287523_112022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_921403-MLC52483368036_112022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_699958-MLC52483353122_112022-R.jpg', 'image_3': 'https://http2.mlstatic.com/D_Q_NP_925885-MLC52483267571_112022-R.jpg', 'image_4': 'https://http2.mlstatic.com/D_Q_NP_852661-MLC52483250632_112022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Mostradores,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina mostrador para exhibición<br><br>- Medidas finales 126x43x110cm.<br>- Fabricadas con melamina de 18mm y MDF desnudo de 18mm enchapado en formalita.<br>- Frentes de vidrio de 6mm de espesor con cantos pulidos mate. <br>- Cubierta de vidrio de 8mm de espesor con cantos pulidos mate.<br>- Cajón con tirador de bala en cajón superior.<br>- Bodega con 3 puertas abatibles.<br>- Zócalo enchapado en formalita.<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Marca': 'Exhibidores Chile', 'Modelo': 'VM-126106', 'Profundidad x Altura x Ancho': '43 cm x 110 cm x 126 cm', 'Materiales': 'Formalita, MDF, Melamina, Vidrio'}"
"Trasera Mural Con Puertas, Ranurado Y Bodega 106x30x230cm",TMRB-10730_Blanco,https://www.exhibidoreschile.cl/MLC-1026260643-trasera-mural-con-puertas-ranurado-y-bodega-106x30x230cm-_JM,$ 415.000,,,,,,,(5 disponibles),,,Blanco,,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_805200-MLC50788210830_072022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_969857-MLC50788212857_072022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_608093-MLC51556455491_092022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Vitrinas,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina trasera melaminica con fondo ranurado y bodega<br><br>- Medidas 106x30x230cm.<br>- Fabricada con melamina de 18mm.<br>- Puertas de vidrio de 6mm de espesor con cantos pulidos mate.<br>- Fondo de panel ranurado. <br>- Con cerraduras para puertas de vidrio.<br>- Bodega con tres puertas abatibles y cerraduras. <br>- Tres luminarias led empotrables en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz).<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'TMRB-10730', 'Materiales': 'Melamina, Vidrio', 'Altura x Ancho x Profundidad': '230 cm x 106 cm x 30 cm', 'Cantidad de puertas': '6', 'Cantidad de cajones': '1'}"
Trasera Estante Para Exhibición 126x30x230cm,TM-12630_Blanco,https://www.exhibidoreschile.cl/MLC-1058024603-trasera-estante-para-exhibicion-126x30x230cm-_JM,$ 310.000,,,,,,,(5 disponibles),,,Blanco,,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_994872-MLC52025398564_102022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_738060-MLC52025460314_102022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_963011-MLC52025479165_102022-R.jpg'}",Hogar y Muebles/Muebles para el Hogar/Estanterías,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Estante para exhibición.<br><br>- Medidas: 127x30x230cm de alto.<br>- Fabricada con melamina de 18mm.<br>- Fondo liso de melamina de 3mm.<br>- 5 repisas de vidrio claro pulido 8mm.<br>- 3 luminarias led empotrables en la parte superior (cable sobresale por parte superior, se conecta directamente a la luz). <br>- Zocalo enchapado en formalita tipo aluminio.<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Fabricante': 'Exhibidores Chile', 'Modelo': 'TM-12630', 'Altura x Profundidad': '230 cm x 30 cm', 'Requiere ensamblado': 'Sí'}"
Vitrina Mostrador Cúpula Con Bodega 126x43x110cm,VM-126106_Negro,https://www.exhibidoreschile.cl/MLC-1173088031-vitrina-mostrador-cupula-con-bodega-126x43x110cm-_JM,$ 385.000,,,,,,,(3 disponibles),,,Blanco,Negro,,"{'image_0': 'https://http2.mlstatic.com/D_Q_NP_921403-MLC52483368036_112022-R.jpg', 'image_1': 'https://http2.mlstatic.com/D_Q_NP_799692-MLC52483287523_112022-R.jpg', 'image_2': 'https://http2.mlstatic.com/D_Q_NP_890270-MLC52483374021_112022-R.jpg', 'image_3': 'https://http2.mlstatic.com/D_Q_NP_699958-MLC52483353122_112022-R.jpg', 'image_4': 'https://http2.mlstatic.com/D_Q_NP_815334-MLC52483381007_112022-R.jpg', 'image_5': 'https://http2.mlstatic.com/D_Q_NP_925885-MLC52483267571_112022-R.jpg', 'image_6': 'https://http2.mlstatic.com/D_Q_NP_852661-MLC52483250632_112022-R.jpg', 'image_7': 'https://http2.mlstatic.com/D_Q_NP_779010-MLC52483285474_112022-R.jpg'}",Industrias y Oficinas/Equipamiento para Comercios/Organización y Exhibición/Exhibidores/Mostradores,,"<div class=""ui-pdp-container__row ui-pdp-container__row--description"" id=""description""><div class=""ui-pdp-collapsable ui-pdp-description-collapse""><div class=""ui-pdp-collapsable__container""><div class=""ui-pdp-description""><h2 class=""ui-pdp-description__title"">Descripción</h2><p class=""ui-pdp-description__content"">Vitrina mostrador para exhibición<br><br>- Medidas finales 126x43x110cm.<br>- Fabricadas con melamina de 18mm y MDF desnudo de 18mm enchapado en formalita.<br>- Frentes de vidrio de 6mm de espesor con cantos pulidos mate. <br>- Cubierta de vidrio de 8mm de espesor con cantos pulidos mate.<br>- Cajón con tirador de bala en cajón superior.<br>- Bodega con 3 puertas abatibles.<br>- Zócalo enchapado en formalita.<br><br>_____<br><br>Exhibidores Chile. Empresa con años de experiencia en el rubro de fabricación de muebles, vitrinas, exhibidores, etc, destacándonos por la terminación de nuestros productos, ofreciendo siempre la mejor atención, calidad y precio del mercado.<br><br>Garantía 6 Meses.<br>CUBRE: Defectos de fábrica, calidad.<br>NO CUBRE: Mala manipulación del producto.<br><br>Formas de entrega:<br>- Retiro (Santiago Centro): Después de concretada la compra se coordina por interno el retiro en nuestra bodega. GRATIS.<br>- Despacho (solo Santiago): Después de concretada la compra se coordina por interno el despacho. VALOR DEPENDERA DE LA COMUNA.<br><br>*NO REALIZAMOS ENVIOS A REGIONES DE ESTA VITRINA*<br><br>Exhibidores Chile.<br></p></div></div></div></div>",,,,,,,,,,"{'Marca': 'Exhibidores Chile', 'Modelo': 'VM-126106', 'Profundidad x Altura x Ancho': '43 cm x 110 cm x 126 cm', 'Materiales': 'Formalita, MDF, Melamina, Vidrio'}"
